57.8799,6.38202,9.62E-05,45
57.4508,6.33419,7.54E-06,55
57.1336,6.29951,9.72E-05,65
56.9833,6.28236,9.52E-05,75
56.6714,6.24829,7.54E-06,85
56.379,6.2158,9.71E-05,95
56.2823,6.20544,0.00009786,100
56.5601,6.23641,1.00E-04,90
56.6731,6.24862,7.43E-06,80
57.0057,6.28544,9.72E-05,70
57.3124,6.319,7.57E-06,60
58.994,6.50511,0.00010117,10
58.8356,6.48717,9.56E-05,20
58.5013,6.45068,7.56E-06,30
58.0884,6.40502,9.61E-05,40
57.5761,6.34842,7.54E-06,50
58.3211,6.43053,9.71E-05,35
58.682,6.47037,7.23E-06,25
58.9224,6.49715,9.09E-05,15
56.0789,6.18378,7.18E-06,110
55.9633,6.17044,9.55E-05,115
55.5707,6.12615,0.000089248,120
58.9523,6.50048,7.18E-06,13
58.7491,6.47774,9.56E-05,23
58.38,6.43746,7.13E-06,33
57.9454,6.38924,9.08E-05,43
57.5196,6.34154,7.20E-06,53
57.0556,6.29059,9.30E-05,67
56.8187,6.26465,7.17E-06,77
56.6086,6.24137,9.76E-05,87
56.4091,6.21931,9.56E-05,97
56.077,6.1833,7.15E-06,107
57.1666,6.30283,9.61E-05,63
56.9681,6.28163,7.10E-06,73
56.6782,6.2492,0.000098869,83
56.4074,6.21926,7.30E-06,93
56.3183,6.20971,8.86E-05,103
56.0771,6.18331,7.24E-06,107
55.9571,6.17002,9.91E-05,113
55.9174,6.16526,0.000102088,117
58.9585,6.50111,6.89E-06,12
58.7819,6.48122,0.000096929,22
58.4269,6.44233,7.55E-06,32
58.0354,6.39917,9.47E-05,42
57.564,6.34716,7.04E-06,52
57.2444,6.31148,9.54E-05,62
56.9938,6.28408,9.56E-05,72
56.74,6.25608,9.76E-05,82
56.4479,6.22374,7.50E-06,92
56.1894,6.19579,9.56E-05,102
55.9663,6.17098,7.02E-06,112
58.8748,6.49139,0.000100683,18
58.5635,6.45745,9.08E-05,28
58.1479,6.41153,7.15E-06,38
57.7495,6.36751,9.35E-05,48
57.3397,6.32255,0.000093563,58
57.0753,6.29351,9.34E-05,68
56.8113,6.26392,7.06E-06,78
56.6032,6.24102,0.000101091,88
56.3191,6.20962,6.91E-06,98
56.2077,6.19759,9.90E-05,108
55.8449,6.15741,9.44E-05,118
58.9043,6.49515,7.06E-06,16
58.6588,6.38984,9.49E-05,26
58.2751,6.34809,9.90E-05,36
57.8115,6.29785,9.15E-05,46
57.4255,6.25551,6.89E-06,56
57.071,6.21682,3.78E-06,66
56.8795,6.1962,7.01E-06,76
56.5171,6.15652,9.88E-05,86
56.3467,6.13776,9.09E-05,96
56.3351,6.13612,7.00E-06,106
55.9637,6.09575,9.26E-05,116
58.9433,6.42122,9.54E-05,14
58.7073,6.39501,9.43E-05,24
58.3468,6.35611,6.72E-06,34
57.9413,6.31192,9.86E-05,44
57.4209,6.25488,7.20E-06,54
57.1246,6.2228,9.55E-05,64
56.8782,6.19605,8.80E-05,74
56.6667,6.17297,7.02E-06,84
56.4376,6.14802,9.29E-05,94
56.1376,6.11505,0.000089498,104
56.0865,6.10997,9.14E-05,114
58.857,6.41137,7.09E-06,19
58.5216,6.37521,7.18E-06,29
58.1427,6.33391,0.000090236,39
57.7125,6.28669,9.02E-05,49
57.3083,6.24294,9.23E-05,59
57.0418,6.21344,6.93E-06,69
56.8613,6.19422,8.64E-05,79
56.5477,6.16003,9.04E-05,89
56.2556,6.12782,9.01E-05,99
55.9474,6.09451,6.86E-06,109
55.8475,6.08356,8.91E-05,119
58.9824,6.4255,7.15E-06,11
58.8012,6.40539,9.17E-05,21
58.4533,6.36783,9.21E-05,31
58.0478,6.32359,6.92E-06,41
57.5787,6.2725,0.000115366,51
58.5216,6.37521,0.506144,29
58.1427,6.33391,0.884959,39
57.7125,6.28669,1.3154,49
57.3083,6.24294,1.71927,59
57.0418,6.21344,1.98595,69
56.8613,6.19422,2.16648,79
56.5477,6.16003,2.4801,89
56.2556,6.12782,2.77211,99
55.9474,6.09451,3.08046,109
55.8475,6.08356,3.18033,119
58.9824,6.4255,0.0454063,11
58.8012,6.40539,0.226749,21
58.4533,6.36783,0.574652,31
58.0478,6.32359,0.979954,41
57.5787,6.2725,1.44904,51
